"","id","lastpage","seffsab_1","seffsab_2","seffsab_20","seffsab_14","seffsab_6","seffsab_28","seffsab_48","seffsab_39","seffsab_46","seffsab_47","seffsab_4","seffsab_29","seffsab_44","seffsab_27","seffsab_43","seffsab_9"
"65","GE31JÜR",30,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4
"66","GI02HAW",8,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4
"67","GI11MAB",30,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,4
"68","GI13HEO",30,3,3,4,3,4,4,1,3,3,4,4,2,3,4,3,3
"69","GI15HED",30,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
"70","GI16JOB",30,4,4,4,3,3,4,3,3,3,3,3,4,3,3,2,4
"71","GI29NOV",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","GU13CLA",30,4,4,4,2,4,3,3,3,4,3,3,3,3,4,3,4
"73","HA13GEW",30,3,3,3,3,3,4,2,3,3,3,3,2,3,3,3,4
"74","HE05HAB",30,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,4
"75","HE07ENL",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","HE08PAA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","HE10HES",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","HE10JÜL",30,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4
"79","HE11KAK",30,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4
"80","HE12REZ",30,4,3,4,2,3,2,4,3,3,2,2,4,4,3,3,4
"81","HE13ARA",30,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"82","HE21HEH",30,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"83","HE25FRT",30,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
"84","HE27HEO",30,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
"85","HE29WIR",30,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"86","HE31KLM",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","HI08JOM",30,3,4,4,3,3,3,3,3,3,3,3,2,3,3,4,4
"88","HI09WAW",30,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4
"89","HI18FRH",30,4,4,4,2,4,3,4,2,3,4,4,3,4,3,4,4
"90","HI21WEH",30,3,3,4,2,3,3,1,3,3,3,3,3,3,3,3,3
"91","HI30DIP",30,3,3,3,2,2,2,2,3,3,3,3,4,4,4,4,4
"92","IN01ERC",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","IN15JÜB",30,3,3,4,3,4,2,4,3,2,3,4,4,4,4,3,4
"94","IN16GEB",30,4,3,4,3,NA,4,3,4,4,4,3,4,4,4,4,4
"95","IN24VOF",30,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4
"96","IR27NOL",30,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4
"97","JO04HEL",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","JO17BRH",30,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4
"99","KA05EDB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","KA06EKH",30,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4
"101","KA21MAN",30,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4
"102","KA23BEA",29,4,4,4,3,4,4,3,4,3,4,4,4,3,4,3,4
"103","KA28HAG",30,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
"104","KI23ALK",30,4,3,4,4,4,3,2,3,4,4,3,2,4,3,3,4
"105","KR03PES",30,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4
"106","KÄ09TRA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","LI04ERW",12,4,4,4,3,4,3,1,3,3,3,3,4,4,4,4,4
"108","LI28HUP",30,4,4,4,3,4,4,3,3,3,4,3,2,3,3,3,3
"109","LO20HEH",30,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4
"110","LU05GED",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","MA01DIO",30,3,3,4,2,4,4,4,4,4,2,3,3,4,3,3,4
"112","MA02ECD",30,4,3,4,3,3,3,2,3,3,4,4,3,3,4,4,4
"113","MA02HAR",30,4,3,3,4,3,4,2,2,3,2,4,4,3,4,4,4
"114","MA02PAM",30,3,4,4,3,3,3,2,3,4,4,2,3,3,4,3,3
"115","MA04HEA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","MA08UWJ",30,4,4,4,3,4,4,4,4,3,4,4,1,4,4,4,4
"117","MA11KAB",30,4,3,4,2,4,3,2,3,3,4,3,3,3,4,3,3
"118","MA12HUS",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","MA14HEW",30,4,4,4,3,3,3,4,4,2,2,4,3,4,4,4,4
"120","MA14KAT",30,4,4,3,3,3,4,3,3,3,4,4,4,4,4,3,4
